"","model type","mean","median","min","max"
"1","linear model",-1768.39799611994,0.386966510014308,-466006.965518204,0.982620717943151
"2","log linear mdoel",-10.9571159860735,0.624728404428205,-1133.33643412849,0.99314182518715
"3","polynomial model",0.358976424652123,0.812510362821511,-23.2333863182929,1.12042897790906
"4","log polynomial model",0.433409773949257,0.865527170903386,-23.1136122592623,1.11573224266648
"5","logistic model",-3.52530433658826e+28,0.949214412202721,-7.6851634537624e+30,0.999963909311575
"6","gompertz model",0.116803682610449,0.977895765821843,-23.814536111053,0.998837941951159
