"","model type","mean","median","min","max"
"1","linear model",137.858723049443,104.999231930343,-264.738163645706,2423.17568569084
"2","log linear mdoel",156.73211368486,99.8220994706117,-268.191880510882,3032.22677929945
"3","polynomial model",127.679376109979,108.16291414678,-265.916997691747,2419.46654848721
"4","log polynomial model",142.902721233842,112.781721752042,-263.49024358612,2467.87822715702
"5","logistic model",90.7443626973033,81.5872832917841,-251.349806950812,1917.86459511842
"6","gompertz model",13.0134294773615,17.2279207595617,-318.815845728503,36.2437684214782
