"","model type","mean","median","min","max"
"1","linear model",133.017532459997,96.2367700283243,-265.781641906575,2423.01242038472
"2","log linear mdoel",162.73211368486,105.822099470612,-262.191880510882,3038.22677929945
"3","polynomial model",118.427381247297,87.4571864750258,-267.735179509929,2419.19257588447
"4","log polynomial model",133.65072637116,94.4243116635281,-265.308425404302,2467.60425455428
"5","logistic model",83.4864383952707,67.2285268158833,-253.088937385595,1917.47624560386
"6","gompertz model",5.67769983652415,12.7834763151172,-319.089818331242,16.2437684214782
